Comente,texto_sem_emojis,texto_sem_emojis_limpo,texto_final_en,texto_final_en_limpo,Tokens_lematizados_texto_final_en,Tokens_lematizados_sem_stopwords_texto_final_en,texto_final_en_processado_spacy
Oi,Oi,i,i,i,['I'],['I'],I
@matheus.r_investimento oi como faço para inestir em fundos imobiliários?,@matheus.r_investimento oi como faço para inestir em fundos imobiliários?,matheusrinvestimento oi como faço para inestir em fundos imobiliários,Matheusrin -plating hi how do I unease in real estate funds,matheusrin plating hi how do i unease in real estate funds,"['matheusrin', 'plate', 'hi', 'how', 'do', 'I', 'unease', 'in', 'real', 'estate', 'fund']","['matheusrin', 'plate', 'hi', 'I', 'unease', 'real', 'estate', 'fund']",matheusrin plate hi I unease real estate fund
As indicações da @kamilaassis2003 é top💭🍀,As indicações da @kamilaassis2003 é topthought_balloonfour_leaf_clover,s indicações da kamilaassis é topthoughtballoonfourleafclover,S Kamilaassis Indications is TopthoughSballoofourleafclover,s kamilaassis indications is topthoughsballoofourleafclover,"['s', 'kamilaassis', 'indication', 'be', 'topthoughsballoofourleafclover']","['kamilaassis', 'indication', 'topthoughsballoofourleafclover']",kamilaassis indication topthoughsballoofourleafclover
As indicações da @kamilaassis2003 é top,As indicações da @kamilaassis2003 é top,s indicações da kamilaassis é top,s indications of kamilaassis is top,s indications of kamilaassis is top,"['s', 'indication', 'of', 'kamilaassis', 'be', 'top']","['indication', 'kamilaassis', 'top']",indication kamilaassis top
"Gosto muito do meu roxinho, porém só acho chato a parte dos tempo que libera crédito, demora muito pra dar créditos, estou sempre comprando e pagando na data certa.","Gosto muito do meu roxinho, porém só acho chato a parte dos tempo que libera crédito, demora muito pra dar créditos, estou sempre comprando e pagando na data certa.",osto muito do meu roxinho porém só acho chato a parte dos tempo que libera crédito demora muito pra dar créditos estou sempre comprando e pagando na data certa,I bore a lot of my purple but I just find it boring the time that releases credit takes a lot to give credits I am always buying and paying on the right date,i bore a lot of my purple but i just find it boring the time that releases credit takes a lot to give credits i am always buying and paying on the right date,"['I', 'bear', 'a', 'lot', 'of', 'my', 'purple', 'but', 'I', 'just', 'find', 'it', 'bore', 'the', 'time', 'that', 'release', 'credit', 'take', 'a', 'lot', 'to', 'give', 'credit', 'I', 'be', 'always', 'buy', 'and', 'pay', 'on', 'the', 'right', 'date']","['I', 'bear', 'lot', 'purple', 'I', 'find', 'bore', 'time', 'release', 'credit', 'take', 'lot', 'give', 'credit', 'I', 'always', 'buy', 'pay', 'right', 'date']",I bear lot purple I find bore time release credit take lot give credit I always buy pay right date
"@nubank praticidade, sabedoria, economia . 🟣⚪️","@nubank praticidade, sabedoria, economia . purple_circlewhite_circle",nubank praticidade sabedoria economia purplecirclewhitecircle,Nubank practicality wisdom economy purplecirclewhitecircle,nubank practicality wisdom economy purplecirclewhitecircle,"['nubank', 'practicality', 'wisdom', 'economy', 'purplecirclewhitecircle']","['nubank', 'practicality', 'wisdom', 'economy', 'purplecirclewhitecircle']",nubank practicality wisdom economy purplecirclewhitecircle
Banco lixo !!!!!! Ja tive dor de cabeça com esse banco e agora meu marido !!! Recebeu um pix num valor alto ( da sua própria conta) e simplesmente CANCELARAM a conta dele por ele ter recebido um pix num valor alto !!! Q banco e esse q o cliente nao pode ter valor alto na conta ??,Banco lixo !!!!!! Ja tive dor de cabeça com esse banco e agora meu marido !!! Recebeu um pix num valor alto ( da sua própria conta) e simplesmente CANCELARAM a conta dele por ele ter recebido um pix num valor alto !!! Q banco e esse q o cliente nao pode ter valor alto na conta ??,anco lixo a tive dor de cabeça com esse banco e agora meu marido ecebeu um pix num valor alto da sua própria conta e simplesmente a conta dele por ele ter recebido um pix num valor alto banco e esse q o cliente nao pode ter valor alto na conta,Anco garbage A I had a headache with this bank and now my husband has eceded a pix in a high value of his own account and simply his account because he received a pix in a high bank value and this one can have no high value in the account,anco garbage a i had a headache with this bank and now my husband has eceded a pix in a high value of his own account and simply his account because he received a pix in a high bank value and this one can have no high value in the account,"['anco', 'garbage', 'a', 'I', 'have', 'a', 'headache', 'with', 'this', 'bank', 'and', 'now', 'my', 'husband', 'have', 'ecede', 'a', 'pix', 'in', 'a', 'high', 'value', 'of', 'his', 'own', 'account', 'and', 'simply', 'his', 'account', 'because', 'he', 'receive', 'a', 'pix', 'in', 'a', 'high', 'bank', 'value', 'and', 'this', 'one', 'can', 'have', 'no', 'high', 'value', 'in', 'the', 'account']","['anco', 'garbage', 'I', 'headache', 'bank', 'husband', 'ecede', 'pix', 'high', 'value', 'account', 'simply', 'account', 'receive', 'pix', 'high', 'bank', 'value', 'one', 'high', 'value', 'account']",anco garbage I headache bank husband ecede pix high value account simply account receive pix high bank value one high value account
"@luizadalolio e eu tive o mesmo problema, fiz e recebi pix em valores altos e cancelaram minha conta !!","@luizadalolio e eu tive o mesmo problema, fiz e recebi pix em valores altos e cancelaram minha conta !!",luizadalolio e eu tive o mesmo problema fiz e recebi pix em valores altos e cancelaram minha conta,luizadalolio and I had the same problem I did and received pix on high values ​​and canceled my account,luizadalolio and i had the same problem i did and received pix on high values and canceled my account,"['luizadalolio', 'and', 'I', 'have', 'the', 'same', 'problem', 'I', 'do', 'and', 'receive', 'pix', 'on', 'high', 'value', 'and', 'cancel', 'my', 'account']","['luizadalolio', 'I', 'problem', 'I', 'receive', 'pix', 'high', 'value', 'cancel', 'account']",luizadalolio I problem I receive pix high value cancel account
"@luizadalolio trava o dinheiro da gente , e temos que ter paciência pra esperar a boa vontade deles de transferir para outra conta da mesma titularidade","@luizadalolio trava o dinheiro da gente , e temos que ter paciência pra esperar a boa vontade deles de transferir para outra conta da mesma titularidade",luizadalolio trava o dinheiro da gente e temos que ter paciência pra esperar a boa vontade deles de transferir para outra conta da mesma titularidade,Luizadalolio wages our money and we have to be patient to wait for their goodwill to transfer to another account of the same title,luizadalolio wages our money and we have to be patient to wait for their goodwill to transfer to another account of the same title,"['luizadalolio', 'wage', 'our', 'money', 'and', 'we', 'have', 'to', 'be', 'patient', 'to', 'wait', 'for', 'their', 'goodwill', 'to', 'transfer', 'to', 'another', 'account', 'of', 'the', 'same', 'title']","['luizadalolio', 'wage', 'money', 'patient', 'wait', 'goodwill', 'transfer', 'another', 'account', 'title']",luizadalolio wage money patient wait goodwill transfer another account title
@nataliasoranzo e pq eles preferem cancelar contas sem motivo do q com motivo !! Ja tive 2 experiência horrível com esse banco,@nataliasoranzo e pq eles preferem cancelar contas sem motivo do q com motivo !! Ja tive 2 experiência horrível com esse banco,nataliasoranzo e pq eles preferem cancelar contas sem motivo do q com motivo a tive experiência horrível com esse banco,Nataliasooranzo and because they prefer to cancel accounts for no reason why I had horrible experience with this bank,nataliasooranzo and because they prefer to cancel accounts for no reason why i had horrible experience with this bank,"['nataliasooranzo', 'and', 'because', 'they', 'prefer', 'to', 'cancel', 'account', 'for', 'no', 'reason', 'why', 'I', 'have', 'horrible', 'experience', 'with', 'this', 'bank']","['nataliasooranzo', 'prefer', 'cancel', 'account', 'reason', 'I', 'horrible', 'experience', 'bank']",nataliasooranzo prefer cancel account reason I horrible experience bank
