Comente,Comente_texto,texto_limpo,tokens,tokens_sem_stopwords,tokens_stemmed,texto_final
Oi,Oi,,[],[],[],
@matheus.r_investimento oi como faço para inestir em fundos imobiliários?,@matheus.r_investimento oi como faço para inestir em fundos imobiliários?,matheusr_investimento como faço para inestir fundos imobiliários,"['matheusr_investimento', 'como', 'faço', 'para', 'inestir', 'fundos', 'imobiliários']","['matheusr_investimento', 'faço', 'inestir', 'fundos', 'imobiliários']","['matheusr_invest', 'faç', 'inest', 'fund', 'imobili']",matheusr_invest faç inest fund imobili
As indicações da @kamilaassis2003 é top💭🍀,As indicações da @kamilaassis2003 é top:thought_balloon::four_leaf_clover:,indicações kamilaassis2003 topthought_balloonfour_leaf_clover,"['indicações', 'kamilaassis2003', 'topthought_balloonfour_leaf_clover']","['indicações', 'kamilaassis2003', 'topthought_balloonfour_leaf_clover']","['indic', 'kamilaassis2003', 'topthought_balloonfour_leaf_clov']",indic kamilaassis2003 topthought_balloonfour_leaf_clov
As indicações da @kamilaassis2003 é top,As indicações da @kamilaassis2003 é top,indicações kamilaassis2003 top,"['indicações', 'kamilaassis2003', 'top']","['indicações', 'kamilaassis2003', 'top']","['indic', 'kamilaassis2003', 'top']",indic kamilaassis2003 top
"Gosto muito do meu roxinho, porém só acho chato a parte dos tempo que libera crédito, demora muito pra dar créditos, estou sempre comprando e pagando na data certa.","Gosto muito do meu roxinho, porém só acho chato a parte dos tempo que libera crédito, demora muito pra dar créditos, estou sempre comprando e pagando na data certa.",gosto muito meu roxinho porém acho chato parte dos tempo que libera crédito demora muito pra dar créditos estou sempre comprando pagando data certa,"['gosto', 'muito', 'meu', 'roxinho', 'porém', 'acho', 'chato', 'parte', 'dos', 'tempo', 'que', 'libera', 'crédito', 'demora', 'muito', 'pra', 'dar', 'créditos', 'estou', 'sempre', 'comprando', 'pagando', 'data', 'certa']","['gosto', 'roxinho', 'porém', 'acho', 'chato', 'parte', 'tempo', 'libera', 'crédito', 'demora', 'pra', 'dar', 'créditos', 'sempre', 'comprando', 'pagando', 'data', 'certa']","['gost', 'rox', 'porém', 'ach', 'chat', 'part', 'temp', 'lib', 'crédit', 'dem', 'pra', 'dar', 'crédit', 'sempr', 'compr', 'pag', 'dat', 'cert']",gost rox porém ach chat part temp lib crédit dem pra dar crédit sempr compr pag dat cert
"@nubank praticidade, sabedoria, economia . 🟣⚪️","@nubank praticidade, sabedoria, economia . :purple_circle::white_circle:",nubank praticidade sabedoria economia purple_circlewhite_circle,"['nubank', 'praticidade', 'sabedoria', 'economia', 'purple_circlewhite_circle']","['nubank', 'praticidade', 'sabedoria', 'economia', 'purple_circlewhite_circle']","['nubank', 'pratic', 'sabed', 'econom', 'purple_circlewhite_circl']",nubank pratic sabed econom purple_circlewhite_circl
Banco lixo !!!!!! Ja tive dor de cabeça com esse banco e agora meu marido !!! Recebeu um pix num valor alto ( da sua própria conta) e simplesmente CANCELARAM a conta dele por ele ter recebido um pix num valor alto !!! Q banco e esse q o cliente nao pode ter valor alto na conta ??,Banco lixo !!!!!! Ja tive dor de cabeça com esse banco e agora meu marido !!! Recebeu um pix num valor alto ( da sua própria conta) e simplesmente CANCELARAM a conta dele por ele ter recebido um pix num valor alto !!! Q banco e esse q o cliente nao pode ter valor alto na conta ??,banco lixo  tive dor cabeça com esse banco agora meu marido  recebeu pix num valor alto sua própria conta simplesmente cancelaram conta dele por ele ter recebido pix num valor alto  banco esse cliente nao pode ter valor alto conta,"['banco', 'lixo', 'tive', 'dor', 'cabeça', 'com', 'esse', 'banco', 'agora', 'meu', 'marido', 'recebeu', 'pix', 'num', 'valor', 'alto', 'sua', 'própria', 'conta', 'simplesmente', 'cancelaram', 'conta', 'dele', 'por', 'ele', 'ter', 'recebido', 'pix', 'num', 'valor', 'alto', 'banco', 'esse', 'cliente', 'nao', 'pode', 'ter', 'valor', 'alto', 'conta']","['banco', 'lixo', 'dor', 'cabeça', 'banco', 'agora', 'marido', 'recebeu', 'pix', 'valor', 'alto', 'própria', 'conta', 'simplesmente', 'cancelaram', 'conta', 'ter', 'recebido', 'pix', 'valor', 'alto', 'banco', 'cliente', 'nao', 'pode', 'ter', 'valor', 'alto', 'conta']","['banc', 'lix', 'dor', 'cabeç', 'banc', 'agor', 'marid', 'receb', 'pix', 'val', 'alt', 'própr', 'cont', 'simples', 'cancel', 'cont', 'ter', 'receb', 'pix', 'val', 'alt', 'banc', 'client', 'nao', 'pod', 'ter', 'val', 'alt', 'cont']",banc lix dor cabeç banc agor marid receb pix val alt própr cont simples cancel cont ter receb pix val alt banc client nao pod ter val alt cont
"@luizadalolio e eu tive o mesmo problema, fiz e recebi pix em valores altos e cancelaram minha conta !!","@luizadalolio e eu tive o mesmo problema, fiz e recebi pix em valores altos e cancelaram minha conta !!",luizadalolio tive mesmo problema fiz recebi pix valores altos cancelaram minha conta,"['luizadalolio', 'tive', 'mesmo', 'problema', 'fiz', 'recebi', 'pix', 'valores', 'altos', 'cancelaram', 'minha', 'conta']","['luizadalolio', 'problema', 'fiz', 'recebi', 'pix', 'valores', 'altos', 'cancelaram', 'conta']","['luizadaloli', 'problem', 'fiz', 'receb', 'pix', 'val', 'alt', 'cancel', 'cont']",luizadaloli problem fiz receb pix val alt cancel cont
"@luizadalolio trava o dinheiro da gente , e temos que ter paciência pra esperar a boa vontade deles de transferir para outra conta da mesma titularidade","@luizadalolio trava o dinheiro da gente , e temos que ter paciência pra esperar a boa vontade deles de transferir para outra conta da mesma titularidade",luizadalolio trava dinheiro gente temos que ter paciência pra esperar boa vontade deles transferir para outra conta mesma titularidade,"['luizadalolio', 'trava', 'dinheiro', 'gente', 'temos', 'que', 'ter', 'paciência', 'pra', 'esperar', 'boa', 'vontade', 'deles', 'transferir', 'para', 'outra', 'conta', 'mesma', 'titularidade']","['luizadalolio', 'trava', 'dinheiro', 'gente', 'ter', 'paciência', 'pra', 'esperar', 'boa', 'vontade', 'transferir', 'outra', 'conta', 'mesma', 'titularidade']","['luizadaloli', 'tr', 'dinh', 'gent', 'ter', 'paci', 'pra', 'esper', 'boa', 'vontad', 'transfer', 'outr', 'cont', 'mesm', 'titular']",luizadaloli tr dinh gent ter paci pra esper boa vontad transfer outr cont mesm titular
@nataliasoranzo e pq eles preferem cancelar contas sem motivo do q com motivo !! Ja tive 2 experiência horrível com esse banco,@nataliasoranzo e pq eles preferem cancelar contas sem motivo do q com motivo !! Ja tive 2 experiência horrível com esse banco,nataliasoranzo eles preferem cancelar contas sem motivo com motivo tive experiência horrível com esse banco,"['nataliasoranzo', 'eles', 'preferem', 'cancelar', 'contas', 'sem', 'motivo', 'com', 'motivo', 'tive', 'experiência', 'horrível', 'com', 'esse', 'banco']","['nataliasoranzo', 'preferem', 'cancelar', 'contas', 'motivo', 'motivo', 'experiência', 'horrível', 'banco']","['nataliasoranz', 'pref', 'cancel', 'cont', 'motiv', 'motiv', 'experi', 'horr', 'banc']",nataliasoranz pref cancel cont motiv motiv experi horr banc
@nubank clientes seus nao podem realizar e receber pix ou transferências de valores altos se nao vcs cancela a conta ??? E isso??,@nubank clientes seus nao podem realizar e receber pix ou transferências de valores altos se nao vcs cancela a conta ??? E isso??,nubank clientes seus nao podem realizar receber pix transferências valores altos nao vcs cancela conta  isso,"['nubank', 'clientes', 'seus', 'nao', 'podem', 'realizar', 'receber', 'pix', 'transferências', 'valores', 'altos', 'nao', 'vcs', 'cancela', 'conta', 'isso']","['nubank', 'clientes', 'nao', 'podem', 'realizar', 'receber', 'pix', 'transferências', 'valores', 'altos', 'nao', 'vcs', 'cancela', 'conta']","['nubank', 'client', 'nao', 'pod', 'realiz', 'receb', 'pix', 'transfer', 'val', 'alt', 'nao', 'vc', 'cancel', 'cont']",nubank client nao pod realiz receb pix transfer val alt nao vc cancel cont
💜💜💜💜💜,:purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:,purple_heartpurple_heartpurple_heartpurple_heartpurple_heart,['purple_heartpurple_heartpurple_heartpurple_heartpurple_heart'],['purple_heartpurple_heartpurple_heartpurple_heartpurple_heart'],['purple_heartpurple_heartpurple_heartpurple_heartpurple_heart'],purple_heartpurple_heartpurple_heartpurple_heartpurple_heart
Devolva o meu dinheiro,Devolva o meu dinheiro,devolva meu dinheiro,"['devolva', 'meu', 'dinheiro']","['devolva', 'dinheiro']","['devolv', 'dinh']",devolv dinh
"@nataliasoranzo eles vão pedir o vc ir atrás, pois não resolvem. Fiz um Pix errado. Era 25, na digitação saiu 250. Eu estava em outro estado, de férias. Eles nada fizeram","@nataliasoranzo eles vão pedir o vc ir atrás, pois não resolvem. Fiz um Pix errado. Era 25, na digitação saiu 250. Eu estava em outro estado, de férias. Eles nada fizeram",nataliasoranzo eles vão pedir atrás pois não resolvem fiz pix errado era 25 digitação saiu 250 estava outro estado férias eles nada fizeram,"['nataliasoranzo', 'eles', 'vão', 'pedir', 'atrás', 'pois', 'não', 'resolvem', 'fiz', 'pix', 'errado', 'era', '25', 'digitação', 'saiu', '250', 'estava', 'outro', 'estado', 'férias', 'eles', 'nada', 'fizeram']","['nataliasoranzo', 'vão', 'pedir', 'atrás', 'pois', 'resolvem', 'fiz', 'pix', 'errado', '25', 'digitação', 'saiu', '250', 'outro', 'estado', 'férias', 'nada', 'fizeram']","['nataliasoranz', 'vão', 'ped', 'atrás', 'poi', 'resolv', 'fiz', 'pix', 'err', '25', 'digit', 'saiu', '250', 'outr', 'est', 'férias', 'nad', 'fiz']",nataliasoranz vão ped atrás poi resolv fiz pix err 25 digit saiu 250 outr est férias nad fiz
A minha liberou hj! Melhor banco de todos 💜,A minha liberou hj! Melhor banco de todos :purple_heart:,minha liberou hj melhor banco todos purple_heart,"['minha', 'liberou', 'hj', 'melhor', 'banco', 'todos', 'purple_heart']","['liberou', 'hj', 'melhor', 'banco', 'todos', 'purple_heart']","['liber', 'hj', 'melhor', 'banc', 'tod', 'purple_heart']",liber hj melhor banc tod purple_heart
